epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.5773229002952576,2.901371717453003,0.7445312738418579,2.043612241744995
1,0.7221472859382629,2.072601079940796,0.7613932490348816,1.9301859140396118
2,0.7447314262390137,1.9641984701156616,0.7712239623069763,1.8977316617965698
3,0.7623040080070496,1.9122642278671265,0.7725911736488342,1.8998159170150757
4,0.7728251218795776,1.8734440803527832,0.781445324420929,1.8850417137145996
5,0.7836995720863342,1.84006929397583,0.7822916507720947,1.8757425546646118
6,0.7856110334396362,1.8386576175689697,0.7811849117279053,1.8845806121826172
7,0.8037779331207275,1.7696291208267212,0.7945312261581421,1.812366247177124
8,0.8280165791511536,1.6860557794570923,0.7999349236488342,1.79227876663208
9,0.8345059156417847,1.6627949476242065,0.8050130009651184,1.778398871421814
